1,Có tôi là Phúc
0,Không tôi đang đang bận
1,Có tôi có thể giúp bạn
1,Có tôi sẽ cố gắng hỗ trợ
0,Không tôi không có thời gian
1,Có tôi sẽ xem xét yêu cầu của bạn
0,Không tôi không thể làm được
0,Không tôi đã có lịch trình khác
1,Có tôi sẽ liên hệ lại với bạn
1,Có tôi rất vui được giúp bạn
0,Không tôi không biết câu trả lời
1,Có tôi sẽ gửi thông tin cho bạn
1,Có tôi sẽ hỗ trợ bạn ngay lập tức
0,Không tôi không có thông tin này
1,Có tôi sẽ kiểm tra và trả lời sau
0,Không tôi không đủ thông tin
1,Có tôi sẽ hướng dẫn bạn cách làm
0,Không tôi không thể đáp ứng yêu cầu
1,Có tôi sẽ giải quyết vấn đề cho bạn
0,Không tôi không có quyền truy cập
1,Có tôi sẽ thảo luận với đội ngũ
1,Có tôi sẽ đưa ra lời khuyên cho bạn
0,Không tôi không thể chia sẻ thông tin
1,Có tôi sẽ tìm hiểu và trả lời sau
0,Không tôi không có kết quả chính xác
1,Có tôi sẽ hỗ trợ bạn trong quá trình
1,Có tôi sẽ hỗ trợ bạn bất kỳ lúc nào
0,Không tôi không thể thực hiện điều đó
1,Có tôi sẽ thực hiện yêu cầu của bạn
0,Không tôi không đủ thông tin để trả lời
1,Có tôi sẽ làm mọi thứ có thể giúp bạn
0,Không tôi không có quyền truy cập vào đó
1,Có tôi sẽ đặt câu hỏi để hiểu rõ hơn
